cpuName,manufacturerName,productCollection,totalCores,totalThreads,baseFrequency,turboFrequency,defaultTdp,launchDate,maxRam,usageType
Intel® Core™ i9-10900X X-series Processor,intel,Intel® Core™ X-series Processors,10,20,3.70 GHz,4.50 GHz,165 W,Q4'19,256 GB,null
Intel® Core™ i9-10920X X-series Processor,intel,Intel® Core™ X-series Processors,12,24,3.50 GHz,4.60 GHz,165 W,Q4'19,256 GB,null
Intel® Core™ i9-10940X X-series Processor,intel,Intel® Core™ X-series Processors,14,28,3.30 GHz,4.60 GHz,165 W,Q4'19,256 GB,null
Intel® Core™ i9-10980XE Extreme Edition Processor,intel,Intel® Core™ X-series Processors,18,36,3.00 GHz,4.60 GHz,165 W,Q4'19,256 GB,null
Intel® Core™ i7-9800X X-series Processor,intel,Intel® Core™ X-series Processors,8,16,3.80 GHz,4.40 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-9820X X-series Processor,intel,Intel® Core™ X-series Processors,10,20,3.30 GHz,4.10 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-9900X X-series Processor,intel,Intel® Core™ X-series Processors,10,20,3.50 GHz,4.40 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-9920X X-series Processor,intel,Intel® Core™ X-series Processors,12,24,3.50 GHz,4.40 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-9940X X-series Processor,intel,Intel® Core™ X-series Processors,14,28,3.30 GHz,4.40 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-9960X X-series Processor,intel,Intel® Core™ X-series Processors,16,32,3.10 GHz,4.40 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-9980XE Extreme Edition Processor,intel,Intel® Core™ X-series Processors,18,36,3.00 GHz,4.40 GHz,165 W,Q4'18,128 GB,null
Intel® Core™ i9-7940X X-series Processor,intel,Intel® Core™ X-series Processors,14,28,3.10 GHz,4.30 GHz,165 W,Q3'17,128 GB,null
Intel® Core™ i9-7960X X-series Processor,intel,Intel® Core™ X-series Processors,16,32,2.80 GHz,4.20 GHz,165 W,Q3'17,128 GB,null
Intel® Core™ i9-7980XE Extreme Edition Processor,intel,Intel® Core™ X-series Processors,18,36,2.60 GHz,4.20 GHz,165 W,Q3'17,128 GB,null
Intel® Core™ i9-7920X X-series Processor,intel,Intel® Core™ X-series Processors,12,24,2.90 GHz,4.30 GHz,140 W,Q3'17,128 GB,null
Intel® Core™ i5-7640X X-series Processor,intel,Intel® Core™ X-series Processors,4,null,4.00 GHz,4.20 GHz,112 W,Q2'17,64 GB,null
Intel® Core™ i7-7740X X-series Processor,intel,Intel® Core™ X-series Processors,4,8,4.30 GHz,4.50 GHz,112 W,Q2'17,64 GB,null
Intel® Core™ i7-7800X X-series Processor,intel,Intel® Core™ X-series Processors,6,12,3.50 GHz,4.00 GHz,140 W,Q2'17,128 GB,null
Intel® Core™ i7-7820X X-series Processor,intel,Intel® Core™ X-series Processors,8,16,3.60 GHz,4.30 GHz,140 W,Q2'17,128 GB,null
Intel® Core™ i9-7900X X-series Processor,intel,Intel® Core™ X-series Processors,10,20,3.30 GHz,4.30 GHz,140 W,Q2'17,128 GB,null
Intel® Core™ i7-6800K Processor,intel,Intel® Core™ X-series Processors,6,12,3.40 GHz,3.60 GHz,140 W,Q2'16,128 GB,null
Intel® Core™ i7-6850K Processor,intel,Intel® Core™ X-series Processors,6,12,3.60 GHz,3.80 GHz,140 W,Q2'16,128 GB,null
Intel® Core™ i7-6900K Processor,intel,Intel® Core™ X-series Processors,8,16,3.20 GHz,3.70 GHz,140 W,Q2'16,128 GB,null
Intel® Core™ i7-6950X Processor Extreme Edition,intel,Intel® Core™ X-series Processors,10,20,3.00 GHz,3.50 GHz,140 W,Q2'16,128 GB,null
Intel® Core™ i7-5820K Processor,intel,Intel® Core™ X-series Processors,6,12,3.30 GHz,3.60 GHz,140 W,Q3'14,64 GB,null
Intel® Core™ i7-5930K Processor,intel,Intel® Core™ X-series Processors,6,12,3.50 GHz,3.70 GHz,140 W,Q3'14,64 GB,null
Intel® Core™ i7-5960X Processor Extreme Edition,intel,Intel® Core™ X-series Processors,8,16,3.00 GHz,3.50 GHz,140 W,Q3'14,64 GB,null
Intel® Core™ i7-4940MX Processor Extreme Edition,intel,Intel® Core™ X-series Processors,4,8,3.10 GHz,4.00 GHz,57 W,Q1'14,32 GB,null
Intel® Core™ i7-4820K Processor,intel,Intel® Core™ X-series Processors,4,8,3.70 GHz,3.90 GHz,130 W,Q3'13,64 GB,null
Intel® Core™ i7-4930K Processor,intel,Intel® Core™ X-series Processors,6,12,3.40 GHz,3.90 GHz,130 W,Q3'13,64 GB,null
Intel® Core™ i7-4960X Processor Extreme Edition,intel,Intel® Core™ X-series Processors,6,12,3.60 GHz,4.00 GHz,130 W,Q3'13,64 GB,null
Intel® Core™ i7-4930MX Processor Extreme Edition,intel,Intel® Core™ X-series Processors,4,8,3.00 GHz,3.90 GHz,57 W,Q2'13,32 GB,null
Intel® Core™ i7-3970X Processor Extreme Edition,intel,Intel® Core™ X-series Processors,6,12,3.50 GHz,4.00 GHz,150 W,Q4'12,64.45 GB,null
Intel® Core™ i7-3940XM Processor Extreme Edition,intel,Intel® Core™ X-series Processors,4,8,3.00 GHz,3.90 GHz,55 W,Q3'12,32 GB,null
Intel® Core™ i7-3920XM Processor Extreme Edition,intel,Intel® Core™ X-series Processors,4,8,2.90 GHz,3.80 GHz,55 W,Q2'12,32 GB,null
Intel® Core™ i7-3820 Processor,intel,Intel® Core™ X-series Processors,4,8,3.60 GHz,3.80 GHz,130 W,Q1'12,64.23 GB,null
Intel® Core™ i7-3930K Processor,intel,Intel® Core™ X-series Processors,6,12,3.20 GHz,3.80 GHz,130 W,Q4'11,64.23 GB,null
Intel® Core™ i7-3960X Processor Extreme Edition,intel,Intel® Core™ X-series Processors,6,12,3.30 GHz,3.90 GHz,130 W,Q4'11,64 GB,null
Intel® Core™ i9-13900KS Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,6.00 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i9-13900 Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.60 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i9-13900E Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,1.80 GHz,5.20 GHz,65 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i9-13900F Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.60 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i9-13900H Processor,intel,13th Generation Intel® Core™ i9 Processors,14,20,null,5.40 GHz,null,Q1'23,64 GB,null
Intel® Core™ i9-13900HK Processor,intel,13th Generation Intel® Core™ i9 Processors,14,20,null,5.40 GHz,null,Q1'23,64 GB,null
Intel® Core™ i9-13900HX Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.40 GHz,null,Q1'23,128 GB,null
Intel® Core™ i9-13900T Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.30 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i9-13900TE Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,1.00 GHz,5.00 GHz,35 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i9-13905H Processor,intel,13th Generation Intel® Core™ i9 Processors,14,20,null,5.40 GHz,null,Q1'23,64 GB,null
Intel® Core™ i9-13950HX Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.50 GHz,null,Q1'23,128 GB,null
Intel® Core™ i9-13980HX Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.60 GHz,null,Q1'23,128 GB,null
Intel® Core™ i9-13900K Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.80 GHz,null,Q4'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i9-13900KF Processor,intel,13th Generation Intel® Core™ i9 Processors,24,32,null,5.80 GHz,null,Q4'22,128 GB,PC/Client/Tablet
Intel® Core™ i7-1355U Processor,intel,13th Generation Intel® Core™ i7 Processors,10,12,null,5.00 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-1360P Processor,intel,13th Generation Intel® Core™ i7 Processors,12,16,null,5.00 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-13620H Processor,intel,13th Generation Intel® Core™ i7 Processors,10,16,null,4.90 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-13650HX Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,null,4.90 GHz,null,Q1'23,128 GB,null
Intel® Core™ i7-1365U Processor,intel,13th Generation Intel® Core™ i7 Processors,10,12,null,5.20 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-1365UE Processor,intel,13th Generation Intel® Core™ i7 Processors,10,12,1.70 GHz,4.90 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-13700 Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,null,5.20 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i7-13700E Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,1.90 GHz,5.10 GHz,65 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-13700F Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,null,5.20 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i7-13700H Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,null,5.00 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-13700HX Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,null,5.00 GHz,null,Q1'23,128 GB,null
Intel® Core™ i7-13700T Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,null,4.90 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i7-13700TE Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,1.10 GHz,4.80 GHz,35 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-13705H Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,null,5.00 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-1370P Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,null,5.20 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-1370PE Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,1.90 GHz,4.80 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-13800H Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,null,5.20 GHz,null,Q1'23,64 GB,null
Intel® Core™ i7-13800HE Processor,intel,13th Generation Intel® Core™ i7 Processors,14,20,2.50 GHz,5.00 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-13850HX Processor,intel,13th Generation Intel® Core™ i7 Processors,20,28,null,5.30 GHz,null,Q1'23,128 GB,null
Intel® Core™ i7-13700K Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,null,5.40 GHz,null,Q4'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i7-13700KF Processor,intel,13th Generation Intel® Core™ i7 Processors,16,24,null,5.40 GHz,null,Q4'22,128 GB,PC/Client/Tablet
Intel® Core™ i5-1334U Processor,intel,13th Generation Intel® Core™ i5 Processors,10,12,null,4.60 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-1335U Processor,intel,13th Generation Intel® Core™ i5 Processors,10,12,null,4.60 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-1335UE Processor,intel,13th Generation Intel® Core™ i5 Processors,10,12,1.30 GHz,4.50 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13400 Processor,intel,13th Generation Intel® Core™ i5 Processors,10,16,null,4.60 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i5-13400E Processor,intel,13th Generation Intel® Core™ i5 Processors,10,16,2.40 GHz,4.60 GHz,65 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13400F Processor,intel,13th Generation Intel® Core™ i5 Processors,10,16,null,4.60 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i5-13400T Processor,intel,13th Generation Intel® Core™ i5 Processors,10,16,null,4.40 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i5-1340P Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,null,4.60 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-1340PE Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,1.80 GHz,4.50 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13420H Processor,intel,13th Generation Intel® Core™ i5 Processors,8,12,null,4.60 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-13450HX Processor,intel,13th Generation Intel® Core™ i5 Processors,10,16,null,4.60 GHz,null,Q1'23,128 GB,null
Intel® Core™ i5-1345U Processor,intel,13th Generation Intel® Core™ i5 Processors,10,12,null,4.70 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-1345UE Processor,intel,13th Generation Intel® Core™ i5 Processors,10,12,1.40 GHz,4.60 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13500 Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,4.80 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i5-13500E Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,2.40 GHz,4.60 GHz,65 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13500H Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,null,4.70 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-13500H Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,null,4.70 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-13500HX Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,4.70 GHz,null,Q1'23,128 GB,null
Intel® Core™ i5-13500T Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,4.60 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i5-13500TE Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,1.30 GHz,4.50 GHz,35 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13505H Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,null,4.70 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-1350P Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,null,4.70 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-1350PE Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,1.80 GHz,4.60 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13600 Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,5.00 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i5-13600H Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,null,4.80 GHz,null,Q1'23,64 GB,null
Intel® Core™ i5-13600HE Processor,intel,13th Generation Intel® Core™ i5 Processors,12,16,2.70 GHz,4.80 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-13600HX Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,4.80 GHz,null,Q1'23,128 GB,null
Intel® Core™ i5-13600T Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,4.80 GHz,null,Q1'23,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i5-13600K Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,5.10 GHz,null,Q4'22,128 GB,PC/Client/Tablet
Intel® Core™ i5-13600KF Processor,intel,13th Generation Intel® Core™ i5 Processors,14,20,null,5.10 GHz,null,Q4'22,128 GB,PC/Client/Tablet
Intel® Core™ i3-1305U Processor,intel,13th Generation Intel® Core™ i3 Processors,5,6,null,4.50 GHz,null,Q1'23,64 GB,null
Intel® Core™ i3-13100 Processor,intel,13th Generation Intel® Core™ i3 Processors,4,8,null,4.50 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i3-13100E Processor,intel,13th Generation Intel® Core™ i3 Processors,4,8,3.30 GHz,4.40 GHz,60 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i3-13100F Processor,intel,13th Generation Intel® Core™ i3 Processors,4,8,null,4.50 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i3-13100T Processor,intel,13th Generation Intel® Core™ i3 Processors,4,8,null,4.20 GHz,null,Q1'23,128 GB,PC/Client/Tablet
Intel® Core™ i3-13100TE Processor,intel,13th Generation Intel® Core™ i3 Processors,4,8,2.40 GHz,4.10 GHz,35 W,Q1'23,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i3-1315U Processor,intel,13th Generation Intel® Core™ i3 Processors,6,8,null,4.50 GHz,null,Q1'23,64 GB,null
Intel® Core™ i3-1315U Processor,intel,13th Generation Intel® Core™ i3 Processors,6,8,null,4.50 GHz,null,Q1'23,64 GB,null
Intel® Core™ i3-1315UE Processor,intel,13th Generation Intel® Core™ i3 Processors,6,8,1.20 GHz,4.50 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i3-1320PE Processor,intel,13th Generation Intel® Core™ i3 Processors,8,12,1.70 GHz,4.50 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i3-13300HE Processor,intel,13th Generation Intel® Core™ i3 Processors,8,12,2.10 GHz,4.60 GHz,null,Q1'23,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i9-12900HX Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.00 GHz,null,Q2'22,128 GB,null
Intel® Core™ i9-12950HX Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.00 GHz,null,Q2'22,128 GB,null
Intel® Core™ i9-12900KS Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.50 GHz,null,Q1'22,128 GB,PC/Client/Tablet
Intel® Core™ i9-12900 Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.10 GHz,null,Q1'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i9-12900E Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.00 GHz,null,Q1'22,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i9-12900F Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.10 GHz,null,Q1'22,128 GB,PC/Client/Tablet
Intel® Core™ i9-12900H Processor,intel,12th Generation Intel® Core™ i9 Processors,14,20,null,5.00 GHz,null,Q1'22,64 GB,null
Intel® Core™ i9-12900HK Processor,intel,12th Generation Intel® Core™ i9 Processors,14,20,null,5.00 GHz,null,Q1'22,64 GB,null
Intel® Core™ i9-12900T Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,4.90 GHz,null,Q1'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i9-12900TE Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,4.80 GHz,null,Q1'22,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i9-12900K Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.20 GHz,null,Q4'21,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i9-12900KF Processor,intel,12th Generation Intel® Core™ i9 Processors,16,24,null,5.20 GHz,null,Q4'21,128 GB,PC/Client/Tablet
Intel® Core™ i7-1255UL Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,1.70 GHz,4.70 GHz,15 W,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i7-1265UL Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,1.80 GHz,4.80 GHz,15 W,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i7-12700HL Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,2.30 GHz,4.70 GHz,null,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i7-12800HL Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,2.40 GHz,4.80 GHz,null,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i7-12650HX Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,null,4.70 GHz,null,Q2'22,128 GB,null
Intel® Core™ i7-12800HX Processor,intel,12th Generation Intel® Core™ i7 Processors,16,24,null,4.80 GHz,null,Q2'22,128 GB,null
Intel® Core™ i7-12850HX Processor,intel,12th Generation Intel® Core™ i7 Processors,16,24,null,4.80 GHz,null,Q2'22,128 GB,null
Intel® Core™ i7-1265UE Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,null,null,null,Q1'22,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-1270PE Processor,intel,12th Generation Intel® Core™ i7 Processors,12,16,null,null,null,Q1'22,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-1250U Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,null,4.70 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-1255U Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,null,4.70 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-1260P Processor,intel,12th Generation Intel® Core™ i7 Processors,12,16,null,4.70 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-1260U Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,null,4.70 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-1265U Processor,intel,12th Generation Intel® Core™ i7 Processors,10,12,null,4.80 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-1270P Processor,intel,12th Generation Intel® Core™ i7 Processors,12,16,null,4.80 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-1280P Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,null,4.80 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-12650H Processor,intel,12th Generation Intel® Core™ i7 Processors,10,16,null,4.70 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-12700 Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,4.90 GHz,null,Q1'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i7-12700E Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,4.80 GHz,null,Q1'22,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-12700F Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,4.90 GHz,null,Q1'22,128 GB,PC/Client/Tablet
Intel® Core™ i7-12700H Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,null,4.70 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-12700T Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,4.70 GHz,null,Q1'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i7-12700TE Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,4.60 GHz,null,Q1'22,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-12800H Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,null,4.80 GHz,null,Q1'22,64 GB,null
Intel® Core™ i7-12800HE Processor,intel,12th Generation Intel® Core™ i7 Processors,14,20,2.40 GHz,null,null,Q1'22,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i7-12700K Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,5.00 GHz,null,Q4'21,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i7-12700KF Processor,intel,12th Generation Intel® Core™ i7 Processors,12,20,null,5.00 GHz,null,Q4'21,128 GB,PC/Client/Tablet
Intel® Core™ i5-1235UL Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,1.30 GHz,4.40 GHz,15 W,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i5-1245UL Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,1.60 GHz,4.40 GHz,15 W,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i5-12500HL Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,2.50 GHz,4.50 GHz,null,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i5-12600HL Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,2.70 GHz,4.50 GHz,null,Q3'22,64 GB,PC/Client/Tablet
Intel® Core™ i5-12450HX Processor,intel,12th Generation Intel® Core™ i5 Processors,8,12,null,4.40 GHz,null,Q2'22,128 GB,null
Intel® Core™ i5-12600HX Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,null,4.60 GHz,null,Q2'22,128 GB,null
Intel® Core™ i5-1245UE Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,null,null,null,Q1'22,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-1250PE Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,null,null,null,Q1'22,64 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-1230U Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-1235U Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-1235U Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-1240P Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-1240U Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-1245U Processor,intel,12th Generation Intel® Core™ i5 Processors,10,12,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-1250P Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-12400 Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.40 GHz,null,Q1'22,128 GB,PC/Client/Tablet
Intel® Core™ i5-12400F Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.40 GHz,null,Q1'22,128 GB,PC/Client/Tablet
Intel® Core™ i5-12400T Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.20 GHz,null,Q1'22,128 GB,PC/Client/Tablet
Intel® Core™ i5-12450H Processor,intel,12th Generation Intel® Core™ i5 Processors,8,12,null,4.40 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-12500 Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.60 GHz,null,Q1'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i5-12500E Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.50 GHz,null,Q1'22,128 GB,Embedded Broad Market Commercial Temp
Intel® Core™ i5-12500H Processor,intel,12th Generation Intel® Core™ i5 Processors,12,16,null,4.50 GHz,null,Q1'22,64 GB,null
Intel® Core™ i5-12500T Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.40 GHz,null,Q1'22,128 GB,PC/Client/Tablet, Workstation
Intel® Core™ i5-12500TE Processor,intel,12th Generation Intel® Core™ i5 Processors,6,12,null,4.30 GHz,null,Q1'22,128 GB,Embedded Broad Market Commercial Temp
